time,open,high,low,close,tick_volume,spread,real_volume
2023-10-26 07:15:00,1987.76,1988.8,1987.65,1988.35,530,12,0
2023-10-26 07:30:00,1988.32,1988.68,1987.81,1988.44,408,12,0
2023-10-26 07:45:00,1988.43,1989.39,1988.42,1988.48,433,12,0
2023-10-26 08:00:00,1988.48,1989.53,1988.18,1988.29,664,12,0
2023-10-26 08:15:00,1988.29,1989.03,1987.58,1987.86,597,12,0
2023-10-26 08:30:00,1987.87,1987.87,1985.62,1986.92,1101,12,0
2023-10-26 08:45:00,1986.89,1986.99,1984.81,1985.77,928,12,0
2023-10-26 09:00:00,1985.74,1985.86,1983.99,1985.04,1058,12,0
2023-10-26 09:15:00,1985.04,1986.62,1984.76,1986.0,847,12,0
2023-10-26 09:30:00,1985.99,1986.15,1984.34,1985.05,1021,12,0
2023-10-26 09:45:00,1985.12,1988.25,1984.91,1984.98,1227,12,0
2023-10-26 10:00:00,1984.98,1987.45,1984.38,1987.08,1490,12,0
2023-10-26 10:15:00,1987.08,1987.75,1986.2,1987.75,1297,12,0
2023-10-26 10:30:00,1987.69,1989.15,1986.73,1988.78,1241,12,0
2023-10-26 10:45:00,1988.74,1990.13,1988.05,1990.1,1504,12,0
2023-10-26 11:00:00,1990.1,1990.84,1988.69,1989.11,1271,12,0
2023-10-26 11:15:00,1989.12,1989.94,1988.73,1989.7,1052,12,0
2023-10-26 11:30:00,1989.64,1992.63,1989.63,1992.28,1169,12,0
2023-10-26 11:45:00,1992.28,1993.42,1991.58,1992.12,1045,12,0
2023-10-26 12:00:00,1992.14,1992.18,1990.33,1990.36,984,12,0
2023-10-26 12:15:00,1990.34,1992.1,1989.38,1991.67,1046,12,0
2023-10-26 12:30:00,1991.63,1992.12,1990.93,1990.98,865,12,0
2023-10-26 12:45:00,1990.94,1991.41,1989.46,1990.66,926,12,0
2023-10-26 13:00:00,1990.64,1991.13,1990.33,1990.79,766,12,0
2023-10-26 13:15:00,1990.79,1991.2,1988.98,1989.09,842,12,0
2023-10-26 13:30:00,1989.09,1989.37,1986.08,1986.14,1121,12,0
2023-10-26 13:45:00,1986.14,1987.54,1986.02,1986.66,943,12,0
2023-10-26 14:00:00,1986.69,1987.22,1986.08,1986.81,1079,12,0
2023-10-26 14:15:00,1986.83,1987.61,1986.73,1987.16,898,12,0
2023-10-26 14:30:00,1987.17,1987.45,1982.5,1984.07,1285,12,0
2023-10-26 14:45:00,1984.08,1985.03,1983.59,1984.61,1183,12,0
2023-10-26 15:00:00,1984.61,1986.56,1983.93,1984.56,1352,12,0
2023-10-26 15:15:00,1984.67,1986.71,1983.23,1983.47,2013,12,0
2023-10-26 15:30:00,1983.47,1985.82,1980.21,1981.91,2454,12,0
2023-10-26 15:45:00,1981.87,1982.45,1974.8,1979.52,2340,12,0
2023-10-26 16:00:00,1979.53,1980.26,1974.67,1975.48,2242,12,0
2023-10-26 16:15:00,1975.43,1978.93,1974.63,1977.52,2026,12,0
2023-10-26 16:30:00,1977.45,1981.81,1977.24,1979.78,2387,12,0
2023-10-26 16:45:00,1979.73,1980.5,1977.95,1978.93,2247,12,0
2023-10-26 17:00:00,1978.83,1979.11,1974.35,1975.36,2215,12,0
2023-10-26 17:15:00,1975.36,1975.8,1971.85,1973.41,2135,12,0
2023-10-26 17:30:00,1973.41,1979.48,1973.35,1979.05,2043,12,0
2023-10-26 17:45:00,1979.02,1980.39,1977.84,1979.56,1941,12,0
